Exploratory,EP,Ta_2_ann,P_ann,soil_type,slope,aspect,elevation,type,mixture,N,DBH_sd,h_sd,SCI,CEA,BA,SDI,h,con_BA,age_MTS,H,B2,B3,B4,B5,B6,B7,B8,B8A,B11,B12,VH_desc_year,VH_asc_year,VH_desc_winter,VH_asc_winter,VV_desc_year,VV_asc_year,VV_desc_winter,VV_asc_winter,S1_ndi_mean,S1_ndi_std,EVI_mean,EVI_std,EVI_contrast,EVI_diss,EVI_entr,EVI_idm,EVI_var,S1_contrast,S1_diss,S1_entr,S1_idm,S1_var,Q
HAI,HEW49,8.1893,606.98,Stagnosol,5.64,46.43,357.5,Beech_selection_system,pure,7,17.2949,1.922093766,5.5002,0.9829,26.889,447.1123,28.22,0,159,0.341596983,183.9433209,413.1892908,227.8496339,850.3769229,2696.806777,3437.490564,3473.214159,3738.630818,1770.914385,810.6631813,-13.88732681,-14.20690438,-13.45283937,-13.83293883,-8.504022037,-8.885208952,-8.368660208,-8.804704166,0.236780735,0.033197922,0.602556092,0.045421976,15.29166667,3.083333333,2.022243903,0.297807819,7.560213468,8.091575092,2.2627858,2.094446734,0.340986048,3.80368512,0.563697684
HAI,HEW50,8.394748,616.46,Stagnosol,5.51,345.2,359.85,Beech_unmanaged_mature_timber,pure,3,13.2078,2.100170061,6.0391,0.9775,30.7648,563.5445,23.13,0,155,0.144352407,223.7405292,458.6924062,260.3244308,919.1527385,3406.770831,4417.194609,4525.859028,4768.686055,2015.297674,929.3718646,-14.77883519,-13.70251458,-14.20349503,-13.35332818,-9.303007261,-8.275345159,-9.282748656,-8.271463493,0.206693482,0.028420834,0.741864127,0.034135444,8.418545082,2.166666667,1.909439379,0.391408232,4.169054365,9.416666667,2.5,2.123327867,0.306416384,4.723714854,0.407857007
SCH,SEW01,8.905033,645.47,Cambisol,0.43,267.74,54.13,Pine_AC_pole_wood,pure,3,4.7463,0.5,3.1076,1.2201,34.6358,745.7221,18.33,98.9565,40,0.082430278,197.1403338,360.7425079,271.2127887,672.2905425,1906.546019,2239.574683,2337.125255,2443.676336,1186.759673,635.6996538,-14.96781842,-14.26972169,-15.51174826,-15.18393548,-10.24278841,-9.823628329,-10.84149394,-10.45140348,0.176116786,0.02757225,0.414274161,0.009402478,0.680598322,0.625,1.317140014,0.697916667,0.354249461,5.345238095,1.895833333,2.007803337,0.376799756,2.577362025,0.235423611
SCH,SEW02,8.282576,625.23,Cambisol,0.72,23.34,74.93,Pine_AC_immature_timber,pure,4,6.6223,1.424000624,4.199,1.1389,42.5353,889.4525,23.44,94.2322,51,0.479707254,171.1921212,321.7236126,218.3925966,527.6697564,1678.712858,2046.510018,2083.071004,2223.986702,1092.597504,518.9966964,-14.82564649,-18.041548,-15.40978167,-18.83843407,-10.31203145,-48.4674063,-10.66354924,-31.57734717,0.181004676,0.021746311,0.382186636,0.012281738,1.665104578,0.979166667,1.574586349,0.591719188,0.729777343,4.704861111,1.729166667,2.022243903,0.396847543,2.374565972,0.175107289
SCH,SEW03,9.193266,577.81,Cambisol,1.62,204.77,66.17,Pine_AC_immature_timber,pure,3,7.6426,1.511857892,3.0484,1.2109,37.5065,663.0655,28.5,97.4967,72,0.271887148,161.4497616,289.4897625,233.1327196,505.1303708,1513.191677,1849.611402,1955.141712,2031.710693,1025.025552,513.3657501,-15.17424336,-14.56321901,-15.88139705,-15.40196849,-10.49008519,-10.14065207,-10.82324028,-10.74387043,0.188942323,0.025853818,0.354189291,0.013460983,3.053080674,1.354166667,1.747873144,0.495465686,1.465465958,7.034722222,2.208333333,2.080006168,0.34201574,3.408173382,0.181943594
SCH,SEW04,9.616477,638.11,Cambisol,0.42,300.08,56.01,Pine/Beech_AC_mature_timber,mixed,6,12.3949,1.154700538,6.0938,1.0939,38.6435,694.2008,28,55.7846,112,0.643110166,202.3694411,476.3569322,233.3149822,966.207063,2851.047063,3388.820166,3445.9161,3617.432889,1657.683615,770.5962426,-14.29821635,-13.57618796,-14.21047143,-13.60248474,-9.055482146,-8.56413574,-9.303764214,-9.039980027,0.208364089,0.026155194,0.597300003,0.0143244,14.68055556,3.020833333,2.036684469,0.301131632,7.294794261,8.276041667,2.333333333,2.094446734,0.3187793,3.726996528,0.45749273
SCH,SEW05,9.242183,536,Cambisol,4.6,107.52,64.13,Beech_AC_mature_timber,pure,3,29.7391,1.054092553,5.0149,1.1401,25.7208,353.4718,33.89,0,189,0.287868205,203.8136929,463.9829075,210.7019133,876.2539222,2549.671538,3134.74281,3269.028063,3451.114658,1661.894154,758.1605209,-14.57954404,-14.13947223,-14.08180905,-13.93483526,-8.598571044,-8.584890642,-8.408206268,-8.620371422,0.251685893,0.029516761,0.586369988,0.015187655,45.20833333,5.291666667,2.051125036,0.224026711,21.14482458,8.432299692,2.354166667,2.108887301,0.333529972,4.419813368,0.710672259
SCH,SEW06,8.698444,660.17,Cambisol,0.61,61.22,54.94,Beech_AC_thicket_with_shelterwood,pure,4,18.7333,3.326659987,5.3944,0.9793,16.842,273.2969,28.8,1.1426,157,0.725622204,184.5034763,589.3954606,225.5467704,1021.062194,3054.042238,3705.595439,3823.826171,4041.94407,1901.724183,888.9071235,-14.48790021,-13.44036713,-14.03816476,-13.19702992,-8.970310936,-8.160790797,-8.660414513,-8.294951303,0.239544705,0.033825825,0.637245812,0.016444849,34.25694444,4.541666667,2.051125036,0.251915791,17.58289931,7.610794104,2.324794239,2.094446734,0.3207104,3.822024804,0.804232126
SCH,SEW07,9.91282,614.39,Cambisol,5.86,148.65,78.51,Beech_unmanaged_mature_timber,pure,3,15.6259,1.685018016,4.0437,1.1727,37.5097,543.6208,33.63,2.1477,169,0.188723964,192.7115249,434.0675641,298.5387224,868.059438,3153.043421,3822.207238,3970.217084,4130.359855,1767.286249,781.2814208,-14.34292162,-15.27284808,-13.92238029,-15.4117935,-8.599878366,-48.38506,-8.875161095,-30.7247497,0.223234252,0.027570135,0.640279395,0.018451902,6.649305556,2.005249506,1.908892976,0.393723503,3.128111672,7.270833333,2.166666667,2.094446734,0.343170069,3.482790122,0.483372899
SCH,SEW08,8.336617,544.29,Albeluvisol,7.14,260.86,97.59,Beech_unmanaged_mature_timber,pure,6,25.9501,1.82878223,6.1867,1.2002,39.7685,555.0722,33.7,0.6192,152,0.458841531,199.2921559,443.9277479,217.7952681,813.6309002,3080.054216,4058.225539,4343.33252,4496.527338,1840.564766,781.8542345,-14.90295577,-13.7587724,-14.30194084,-13.58045086,-9.108167425,-8.157007599,-9.004406521,-7.928668489,0.231071178,0.035137698,0.738588533,0.019052999,7.927083333,2.166666667,1.993362771,0.351684858,4.21042502,7.581233199,2.208333333,2.094446734,0.331401424,3.791232639,0.673731337
